ID_Produit,Nom_Produit,Categorie,Prix_Achat,Prix_Vente,Stock_Disponible
P001,Table basse Modèle 1,Tables,328.4,459.05,30
P002,Table à manger Modèle 2,Tables,262.84,319.13,81
P003,Table de chevet Modèle 3,Tables,293.82,417.59,21
P004,Table de salon Modèle 4,Tables,60.33,80.72,70
P005,Table extensible Modèle 5,Tables,272.78,418.42,93
P006,Table de jardin Modèle 6,Tables,263.65,490.33,87
P007,Table de bureau Modèle 7,Tables,157.77,304.05,94
P008,Table de conférence Modèle 8,Tables,304.45,490.83,97
P009,Table pliante Modèle 9,Tables,408.42,725.23,9
P010,Table bar Modèle 10,Tables,448.07,869.26,9
P011,Chaise de salle à manger Modèle 1,Chaises,158.8,192.0,94
P012,Chaise de bureau Modèle 2,Chaises,346.19,582.83,17
P013,Chaise pliante Modèle 3,Chaises,169.68,278.8,46
P014,Chaise de jardin Modèle 4,Chaises,140.68,246.05,88
P015,Chaise haute Modèle 5,Chaises,302.42,600.09,8
P016,Chaise de bar Modèle 6,Chaises,142.98,190.39,27
P017,Chaise de salon Modèle 7,Chaises,207.2,356.81,35
P018,Chaise design Modèle 8,Chaises,449.98,699.3,80
P019,Chaise empilable Modèle 9,Chaises,88.99,173.08,66
P020,Chaise en bois Modèle 10,Chaises,79.14,155.87,0
P021,Canapé d'angle Modèle 1,Canapés,383.77,736.78,13
P022,Canapé convertible Modèle 2,Canapés,436.03,768.27,67
P023,Canapé 2 places Modèle 3,Canapés,464.74,767.99,3
P024,Canapé 3 places Modèle 4,Canapés,84.8,150.66,49
P025,Canapé en cuir Modèle 5,Canapés,136.38,229.86,63
P026,Canapé en tissu Modèle 6,Canapés,476.5,891.31,64
P027,Canapé modulaire Modèle 7,Canapés,73.1,124.79,45
P028,Canapé design Modèle 8,Canapés,373.26,491.98,1
P029,Canapé vintage Modèle 9,Canapés,183.86,290.27,68
P030,Canapé scandinave Modèle 10,Canapés,255.58,409.92,79
P031,Armoire de chambre Modèle 1,Armoires,81.12,161.88,79
P032,Armoire de salon Modèle 2,Armoires,471.8,880.59,22
P033,Armoire de cuisine Modèle 3,Armoires,306.34,579.16,60
P034,Armoire à linge Modèle 4,Armoires,268.4,455.28,42
P035,Armoire bibliothèque Modèle 5,Armoires,365.04,592.05,31
P036,Armoire design Modèle 6,Armoires,142.05,180.76,57
P037,Armoire vintage Modèle 7,Armoires,495.34,980.19,2
P038,Armoire moderne Modèle 8,Armoires,69.97,137.95,65
P039,Armoire en bois massif Modèle 9,Armoires,495.37,721.27,45
P040,Armoire à chaussures Modèle 10,Armoires,197.29,322.21,24
P041,Étagère murale Modèle 1,Étagères,162.99,276.07,31
P042,Étagère de salon Modèle 2,Étagères,217.07,343.35,50
P043,Étagère de cuisine Modèle 3,Étagères,438.52,849.1,64
P044,Étagère de bureau Modèle 4,Étagères,458.18,607.13,42
P045,Étagère design Modèle 5,Étagères,176.34,302.63,73
